_id,address.building,address.coord,address.street,address.zipcode,borough,cuisine,grades,name,restaurant_id
623dfc93033c411989315aff,1269,"[-73.871194,40.6730975]",Sutter Avenue,11208,Brooklyn,Chinese,"[{""date"":{""$date"":""2014-09-16T00:00:00Z""},""grade"":""B"",""score"":21},{""date"":{""$date"":""2013-08-28T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2013-04-02T00:00:00Z""},""grade"":""C"",""score"":56},{""date"":{""$date"":""2012-08-15T00:00:00Z""},""grade"":""B"",""score"":27},{""date"":{""$date"":""2012-03-28T00:00:00Z""},""grade"":""B"",""score"":27}]",May May Kitchen,40358429
623dfc93033c411989315b00,1,"[-73.96926909999999,40.7685235]",East   66 Street,10065,Manhattan,American ,"[{""date"":{""$date"":""2014-05-07T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2013-05-03T00:00:00Z""},""grade"":""A"",""score"":4},{""date"":{""$date"":""2012-04-30T00:00:00Z""},""grade"":""A"",""score"":6},{""date"":{""$date"":""2011-12-27T00:00:00Z""},""grade"":""A"",""score"":0}]",1 East 66Th Street Kitchen,40359480
623dfc93033c411989315b01,705,"[-73.9653967,40.6064339]",Kings Highway,11223,Brooklyn,Jewish/Kosher,"[{""date"":{""$date"":""2014-11-10T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2013-10-10T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-10-04T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2012-05-21T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2011-12-30T00:00:00Z""},""grade"":""B"",""score"":19}]",Seuda Foods,40360045
623dfc93033c411989315b02,203,"[-73.97822040000001,40.6435254]",Church Avenue,11218,Brooklyn,"Ice Cream, Gelato, Yogurt, Ices","[{""date"":{""$date"":""2014-02-10T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2013-01-02T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-01-09T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2011-11-07T00:00:00Z""},""grade"":""P"",""score"":12},{""date"":{""$date"":""2011-07-21T00:00:00Z""},""grade"":""A"",""score"":13}]",Carvel Ice Cream,40360076
623dfc93033c411989315b03,265-15,"[-73.7032601,40.7386417]",Hillside Avenue,11004,Queens,"Ice Cream, Gelato, Yogurt, Ices","[{""date"":{""$date"":""2014-10-28T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-09-18T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2012-09-20T00:00:00Z""},""grade"":""A"",""score"":13}]",Carvel Ice Cream,40361322
623dfc93033c411989315b04,6909,"[-74.0259567,40.6353674]",3 Avenue,11209,Brooklyn,Delicatessen,"[{""date"":{""$date"":""2014-08-21T00:00:00Z""},""grade"":""A"",""score"":4},{""date"":{""$date"":""2014-03-05T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2013-01-10T00:00:00Z""},""grade"":""A"",""score"":10}]",Nordic Delicacies,40361390
623dfc93033c411989315b05,522,"[-73.95171,40.767461]",East   74 Street,10021,Manhattan,American ,"[{""date"":{""$date"":""2014-09-02T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-12-19T00:00:00Z""},""grade"":""B"",""score"":16},{""date"":{""$date"":""2013-05-28T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2012-12-07T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-03-29T00:00:00Z""},""grade"":""A"",""score"":11}]",Glorious Food,40361521
623dfc93033c411989315b06,284,"[-73.9829239,40.6580753]",Prospect Park West,11215,Brooklyn,American ,"[{""date"":{""$date"":""2014-11-19T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2013-11-14T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2012-12-05T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-05-17T00:00:00Z""},""grade"":""A"",""score"":11}]",The Movable Feast,40361606
623dfc93033c411989315b07,129-08,"[-73.839297,40.78147]",20 Avenue,11356,Queens,Delicatessen,"[{""date"":{""$date"":""2014-08-16T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-08-27T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2012-09-20T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2011-09-29T00:00:00Z""},""grade"":""A"",""score"":10}]","Sal'S Deli",40361618
623dfc93033c411989315b08,759,"[-73.9925306,40.7309346]",Broadway,10003,Manhattan,Delicatessen,"[{""date"":{""$date"":""2014-01-21T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-01-04T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2012-06-07T00:00:00Z""},""grade"":""A"",""score"":6},{""date"":{""$date"":""2012-01-17T00:00:00Z""},""grade"":""A"",""score"":8}]","Bully'S Deli",40361708
623dfc93033c411989315b09,3406,"[-73.94024739999999,40.7623288]",10 Street,11106,Queens,Delicatessen,"[{""date"":{""$date"":""2014-03-19T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2013-03-13T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-03-27T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2011-04-05T00:00:00Z""},""grade"":""A"",""score"":7}]","Steve Chu'S Deli & Grocery",40361998
